code;canton;departement;cereales;racines_et_legumes_divers;cultures_diverses;prairies_artificielles;jacheres;total_des_terres_labourables;prairies_naturelles;vignes;autres_cultures_arborescentes;paturages;autres_surfaces_ecoumene;superficie_totale;marais_susceptibles_d_etre_desseches
443;NANTES ;LOIRE INFERIEURE;49861;10103;4726;6825;18285;89800;28998;18617;1868;8426;26302;174011;3646
444;PAIMBOEUF ;LOIRE INFERIEURE;25966;2250;1179;1640;16358;47393;12292;4086;0;3057;10042;76870;1105
445;SAVENAY ;LOIRE INFERIEURE;45211;3380;2341;2733;15194;68859;44165;2515;446;55243;46664;217892;5310
450;LOIRET;;246069;12851;9759;60919;105613;435211;28019;37854;356;26508;149170;677118;1038
451;GIEN ;LOIRET;55733;1876;2667;7966;24884;93126;7519;2605;184;8871;34854;147159;120
452;MONTARGIS ;LOIRET;63356;3005;2411;13457;35033;117262;8786;4694;7;1311;35599;167659;630
453;ORLEANS ;LOIRET;70601;5521;2644;22922;26997;128685;9929;21743;165;15836;65698;242056;288
454;PITHIVIERS ;LOIRET;56379;2449;2037;16574;18699;96138;1785;8812;0;490;13019;120244;0
460;LOT;;168897;15987;4793;5998;41997;237672;24715;56096;34176;60585;107929;521173;119
461;CAHORS ;LOT;72048;6558;2072;2618;15756;99052;5208;36098;1489;20775;53776;216398;83
462;FIGEAC ;LOT;42119;4139;1460;1641;15807;65166;13285;8338;26424;19949;23006;156168;4
463;GOURDON ;LOT;54730;5290;1261;1739;10434;73454;6222;11660;6263;19861;31147;148607;32
470;LOT ET GARONNE;;172360;13738;11320;22188;72304;291910;41800;66792;4314;26335;104245;535396;1884
471;AGEN ;LOT ET GARONNE;39084;3919;2795;6730;16230;68758;7300;12962;2021;1418;8744;101203;2
472;MARMANDE ;LOT ET GARONNE;46744;3122;4755;6308;18625;79554;14600;22850;155;1789;21959;140907;22
473;NERAC ;LOT ET GARONNE;31236;1966;1387;3768;16083;54440;6740;13124;324;20366;43826;138820;1850
474;VILLENEUVE ;LOT ET GARONNE;55296;4731;2383;5382;21366;89158;13160;17856;1814;2762;29716;154466;10
480;LOZERE;;126964;4163;834;2128;57994;192083;55558;1035;32075;161891;74332;516974;652
481;FLORAC ;LOZERE;22749;1067;236;655;9052;33759;13582;871;26800;69976;23848;168836;0
482;MARVEJOLS ;LOZERE;52721;1717;352;811;28044;83645;28000;146;2145;31843;24656;170435;10
483;MENDE ;LOZERE;51494;1379;246;662;20898;74679;13976;18;3130;60072;25828;177703;642
490;MAINE ET LOIRE;;235060;58406;24305;45458;97697;460926;85850;30499;1034;27723;106060;712092;420
491;ANGERS ;MAINE ET LOIRE;45758;10438;9110;10182;21252;96740;21410;10582;288;4862;20703;154585;0
492;BAUGE ;MAINE ET LOIRE;48177;8630;3588;6177;20529;87101;13350;3658;91;9554;26875;140629;300
493;CHOLET ;MAINE ET LOIRE;50662;21725;3080;12823;24983;113273;22000;2833;382;6985;16313;161786;120
494;SAUMUR ;MAINE ET LOIRE;41894;9225;5585;7801;14672;79177;13613;13086;0;5700;27278;138854;0
495;SEGRE ;MAINE ET LOIRE;48569;8388;2942;8475;16261;84635;15477;340;273;622;14891;116238;0
500;MANCHE;;264651;9056;24635;64616;34010;396968;92091;0;12891;34569;56319;592838;8086
501;AVRANCHES ;MANCHE;48469;497;3903;12736;5748;71353;11719;0;3302;2094;8859;97327;1037
502;CHERBOURG ;MANCHE;24531;2167;4216;7095;4602;42611;5385;0;156;6044;5744;59940;251
503;COUTANCES ;MANCHE;60503;1663;5941;20064;4046;92217;13414;0;2203;13519;10569;131922;3109
504;MORTAIN ;MANCHE;41636;312;1786;5777;8982;58493;11707;0;2991;3708;10509;87408;40
505;SAINT LO ;MANCHE;53228;1374;2348;10388;6758;74096;24550;0;1126;2067;10757;112596;10
506;VALOGNES ;MANCHE;36284;3043;6441;8556;3874;58198;25316;0;3113;7137;9881;103645;3639
510;MARNE;;350094;16306;9036;77513;168331;621280;38699;17379;3635;10098;126953;818044;1591
511;CHALONS SUR MARNE ;MARNE;78962;3314;1610;15508;48956;148350;4906;700;176;588;10623;165343;48
512;EPERNAY ;MARNE;87470;4162;2120;20428;33629;147809;11300;6210;792;4691;44292;215094;146
513;REIMS ;MARNE;65603;4482;1490;21448;30814;123837;6000;7263;844;2181;30292;170417;856
514;SAINTE MENEHOULD ;MARNE;55355;1618;919;8364;17620;83876;4892;342;1487;1328;21432;113357;141
515;VITRY LE FRANCOIS ;MARNE;62704;2730;2897;11765;37312;117408;11601;2864;336;1310;20314;153833;400
520;HAUTE MARNE;;218806;9124;8466;24945;81296;342637;39059;16386;1691;16703;205491;621967;943
521;CHAUMONT ;HAUTE MARNE;86248;3640;3653;8072;30337;131950;12900;4692;459;5675;89181;244857;104
522;LANGRES ;HAUTE MARNE;81147;3591;2937;10030;31356;129061;16600;6776;454;7483;59912;220286;751
523;WASSY ;HAUTE MARNE;51411;1893;1876;6843;19603;81626;9559;4918;778;3545;56398;156824;88
530;MAYENNE;;200038;10162;10247;52804;90350;363601;73184;0;2798;23959;53521;517063;370
531;CHATEAU GONTIER ;MAYENNE;47456;5198;3030;14025;25786;95495;18479;0;440;1659;10722;126795;4
532;LAVAL ;MAYENNE;66606;3021;3056;20269;28702;121654;27497;0;1541;9494;20877;181063;3
533;MAYENNE ;MAYENNE;85976;1943;4161;18510;35862;146452;27208;0;817;12806;21922;209205;363
540;MEURTHE;;186059;26740;11947;29273;55499;309518;67032;16337;2459;5253;208405;609004;1388
541;CHATEAU SALINS ;MEURTHE;37729;5326;3017;10218;9394;65684;13455;1336;637;184;27382;108678;1208
542;LUNEVILLE ;MEURTHE;39646;5293;2957;4596;14424;66916;16243;2080;0;849;39398;125486;43
543;NANCY ;MEURTHE;46886;7059;3993;5815;13462;77215;15200;7344;1112;1498;42933;145302;63
544;SARREBOURG ;MEURTHE;24947;4452;878;4008;6892;41177;14834;45;355;795;55520;112726;72
545;TOUL ;MEURTHE;36851;4610;1102;4636;11327;58526;7300;5532;355;1927;43172;116812;2
550;MEUSE;;231155;17421;10996;27846;69542;356960;48674;13178;3497;8750;191728;622787;189
551;BAR LE DUC ;MEUSE;55565;4219;2172;8591;16489;87036;6749;6011;1015;1600;39501;141912;18
552;COMMERCY ;MEUSE;64469;5796;4150;5436;23941;103792;14540;3264;603;4372;70228;196799;148
553;MONTMEDY ;MEUSE;58039;3261;2003;6764;13066;83133;14347;1695;637;1425;33841;135078;0
554;VERDUN ;MEUSE;53082;4145;2671;7055;16046;82999;13038;2208;1242;1353;48158;148998;23
560;MORBIHAN;;214866;7253;6970;1102;30480;260671;63437;1693;6046;274373;73561;679781;2368
561;LORIENT ;MORBIHAN;48668;4224;2119;238;2465;57714;13755;0;1720;60000;14183;147372;990
562;PLOERMEL ;MORBIHAN;55850;731;1338;118;6000;64037;14320;0;1711;61655;18225;159948;130
563;NAPOLEONVILLE ;MORBIHAN;54598;666;1414;176;15722;72576;15281;0;1446;67079;17648;174030;570
564;VANNES ;MORBIHAN;55750;1632;2099;570;6293;66344;20081;1693;1169;85639;23505;198431;678
570;MOSELLE;;190751;30239;14222;35318;46921;317451;45458;5465;3817;4504;160194;536889;235
571;BRIEY ;MOSELLE;47914;5236;1975;9810;12423;77358;7626;273;381;1006;32208;118852;23
572;METZ ;MOSELLE;60904;10317;6833;10927;13206;102187;13816;4001;1384;1434;39231;162053;40
573;SARREGUEMINES ;MOSELLE;44309;8823;3040;6067;13065;75304;16586;84;707;1133;56068;149882;169
574;THIONVILLE ;MOSELLE;37624;5863;2374;8514;8227;62602;7430;1107;1345;931;32687;106102;3
580;NIEVRE;;170100;12648;6938;34002;101593;325281;89595;9856;895;11339;244690;681656;1762
581;CHATEAU CHINON ;NIEVRE;36420;4191;1368;2893;36945;81817;28000;254;471;871;56158;167571;976
582;CLAMECY ;NIEVRE;42610;1455;1998;6849;17544;70456;17049;3212;121;2720;53307;146865;33
583;COSNE ;NIEVRE;40768;1469;1210;10989;15204;69640;11500;3519;140;2571;52806;140176;395
584;NEVERS ;NIEVRE;50302;5533;2362;13271;31900;103368;33046;2871;163;5177;82419;227044;358
590;NORD;;205151;66713;43573;46962;19427;381826;87396;0;2302;4553;92009;568086;2047
591;AVESNES ;NORD;35290;5352;2658;13341;8017;64658;37000;0;286;233;37546;139723;172
592;CAMBRAI ;NORD;44628;6901;11988;11367;1200;76084;3714;0;0;218;9244;89260;258
593;DOUAI ;NORD;20485;7757;5404;3840;1209;38695;1972;0;428;139;5972;47206;283
594;DUNKERQUE ;NORD;25394;10709;4742;3710;1852;46407;14200;0;0;3136;8417;72160;207
595;HAZEBROUCK ;NORD;21503;12205;3645;3321;1926;42600;18013;0;0;77;8630;69320;0
596;LILLE ;NORD;33586;13712;11129;6294;3570;68291;6124;0;1398;238;11388;87439;456
597;VALENCIENNES ;NORD;24265;10077;4007;5089;1653;45091;6373;0;190;512;10812;62978;671
600;OISE;;236878;23035;15577;74697;59184;409371;28616;2285;3747;9867;131621;585507;3281
601;BEAUVAIS ;OISE;79698;3734;3486;27556;23385;137859;13590;592;1248;4044;36565;193898;2083
602;CLERMONT ;OISE;60029;5977;3665;19255;13902;102828;3355;303;1300;2079;20126;129991;0
603;COMPIEGNE ;OISE;45710;8519;5161;9905;7662;76957;7505;1017;525;1057;41783;128844;624
604;SENLIS ;OISE;51441;4805;3265;17981;14235;91727;4166;373;674;2687;33147;132774;574
610;ORNE;;203175;4035;8154;54228;79555;349147;129453;0;5188;14148;111792;609728;3428
611;ALENCON ;ORNE;34370;489;1119;5262;12704;53944;27015;0;138;2050;20178;103325;25
612;ARGENTAN ;ORNE;59302;1848;1925;13260;20464;96799;55617;0;2398;4073;28096;186983;832
613;DOMFRONT ;ORNE;46181;620;2695;10973;14998;75467;18321;0;1997;4025;23554;123364;0
614;MORTAGNE ;ORNE;63322;1078;2415;24733;31389;122937;28500;0;655;4000;39964;196056;2571
620;PAS DE CALAIS;;265693;71794;59763;61307;58765;517322;39839;0;9095;13293;81015;660564;5300
621;ARRAS ;PAS DE CALAIS;60486;10723;32924;16742;4390;125265;1870;0;741;405;9557;137838;281
622;BETHUNE ;PAS DE CALAIS;40203;12325;12199;7805;8558;81090;2941;0;325;1021;8568;93945;3191
623;BOULOGNE ;PAS DE CALAIS;29860;9650;2102;9567;7002;58181;14047;0;1675;6013;14244;94160;673
624;MONTREUIL ;PAS DE CALAIS;41283;10888;2435;9153;13261;77020;8754;0;4388;2662;19681;112505;464
625;SAINT OMER ;PAS DE CALAIS;45050;14998;3096;7305;11812;82261;9050;0;118;2668;14196;108293;630
626;SAINT POL ;PAS DE CALAIS;48811;13210;7007;10735;13742;93505;3177;0;1848;524;14769;113823;61
630;PUY DE DOME;;219020;28717;8477;19349;138442;414005;84808;28529;5082;145906;116721;795051;1916
631;AMBERT ;PUY DE DOME;30917;2382;630;540;18724;53193;16773;0;0;22612;25932;118510;0
632;CLERMONT ;PUY DE DOME;52662;8261;2901;8039;17759;89622;17621;14065;1946;34342;20035;177631;834
633;ISSOIRE ;PUY DE DOME;43658;4937;1343;3667;30360;83965;23604;8355;1540;42049;23351;182864;268
634;RIOM ;PUY DE DOME;70508;9646;2337;5118;50968;138577;17949;3940;740;36386;32256;229848;304
635;THIERS ;PUY DE DOME;21275;3491;1266;1985;20631;48648;8861;2169;856;10517;15147;86198;510
640;BASSES PYRENEES;;129575;3440;7195;3676;11831;155717;70893;25002;13873;307511;189270;762266;695
641;BAYONNE ;BASSES PYRENEES;19226;835;1039;525;1017;22642;8125;2401;2521;42500;25260;103449;30
642;MAULEON ;BASSES PYRENEES;19765;640;621;78;850;21954;17897;3991;3160;88544;57990;193536;0
643;OLORON ;BASSES PYRENEES;17429;443;1079;258;500;19709;18311;3909;1122;94679;48661;186391;76
644;ORTHEZ ;BASSES PYRENEES;36012;154;2097;535;1930;40728;10552;5568;867;34588;25882;118185;32
645;PAU ;BASSES PYRENEES;37143;1368;2359;2280;7534;50684;16008;9133;6203;47200;31477;160705;557
650;HAUTES PYRENEES;;65817;5734;4302;3669;20363;99885;47499;15419;8156;169966;112019;452944;228
651;ARGELES ;HAUTES PYRENEES;7360;679;412;292;263;9006;12638;110;506;78876;30019;131155;16
652;BAGNERES ;HAUTES PYRENEES;23616;2988;1647;1771;3474;33496;18305;1659;3009;75919;58694;191082;4
653;TARBES ;HAUTES PYRENEES;34841;2067;2243;1606;16626;57383;16556;13650;4641;15171;23306;130707;208
660;PYRENEES ORIENTALES;;44554;10616;1867;7748;30398;95183;9933;46895;8539;174279;77382;412211;1034
661;CERET ;PYRENEES ORIENTALES;11593;3727;421;1237;3200;20178;1988;11417;4519;32227;22071;92400;0
662;PERPIGNAN ;PYRENEES ORIENTALES;20082;3227;991;5713;15445;45458;1900;27935;3374;43899;14507;137073;1034
663;PRADES ;PYRENEES ORIENTALES;12879;3662;455;798;11753;29547;6045;7543;646;98153;40804;182738;0
670;BAS RHIN;;106742;45549;17392;18464;7953;196100;58667;12054;5067;14397;169059;455344;0
671;SAVERNE ;BAS RHIN;30208;9608;2859;5194;2786;50655;14767;2154;1945;1183;43318;114022;0
672;SCHLESTADT ;BAS RHIN;22962;10006;3753;3331;2228;42280;17344;5699;831;6608;43665;116427;0
673;STRASBOURG ;BAS RHIN;34611;17648;7844;5777;2530;68410;15933;3264;1210;5536;50123;144476;0
674;WISSEMBOURG ;BAS RHIN;18961;8287;2936;4162;409;34755;10623;937;1081;1070;31953;80419;0
680;HAUT RHIN;;94014;25721;6027;14945;17407;158114;58565;11561;2788;26139;153605;410772;718
681;MULHOUSE ;HAUT RHIN;38645;6365;2475;4719;6139;58343;14076;1527;1325;1447;38544;115262;101
682;BELFORT ;HAUT RHIN;19543;7385;1150;2709;5233;36020;25480;685;952;11662;51258;126057;327
683;COLMAR ;HAUT RHIN;35826;11971;2402;7517;6035;63751;19009;9349;511;13030;63803;169453;290
690;RHONE;;87856;11944;6552;10934;29715;147001;36657;31896;4132;15129;44224;279039;79
691;LYON ;RHONE;46912;9395;3781;6413;3794;70295;17513;14896;2923;3865;19748;129240;45
692;VILLEFRANCHE ;RHONE;40944;2549;2771;4521;25921;76706;19144;17000;1209;11264;24476;149799;34
700;HAUTE SAONE;;167593;16664;7154;19255;46708;257374;60630;13729;1889;20708;179661;533991;732
701;GRAY ;HAUTE SAONE;57697;3357;2075;6432;17687;87248;13852;6521;350;4417;46677;159065;314
702;LURE ;HAUTE SAONE;42012;8962;2130;4686;11023;68813;28500;2000;797;6576;78231;184917;0
703;VESOUL ;HAUTE SAONE;67884;4345;2949;8137;17998;101313;18278;5208;742;9715;54753;190009;418
710;SAONE ET LOIRE;;272664;33524;18408;17879;124060;466535;124972;35628;1235;19978;206826;855174;1835
711;AUTUN ;SAONE ET LOIRE;65496;7212;1862;3863;41096;119529;23426;3951;550;2330;41121;190907;78
712;CHALON /SAONE ;SAONE ET LOIRE;47020;7586;4561;4893;21770;85830;20377;11700;41;5450;48681;172079;107
713;CHAROLLES ;SAONE ET LOIRE;80609;10293;3754;4753;42165;141574;41767;3748;262;5799;56469;249619;1030
714;LOUHANS ;SAONE ET LOIRE;46625;2644;5115;1224;13483;69091;21002;374;212;394;31802;122875;605
715;MACON ;SAONE ET LOIRE;32914;5789;3116;3146;5546;50511;18400;15855;170;6005;28753;119694;15
720;SARTHE;;208572;30107;20420;64946;97369;421414;62123;9590;1363;21033;105144;620667;1012
721;LA FLECHE ;SARTHE;50252;11594;4223;9786;26838;102693;15990;4410;531;8466;28109;160199;850
722;MAMERS ;SARTHE;56012;2875;5678;25736;24664;114965;19664;342;208;1797;24670;161646;0
723;LE MANS ;SARTHE;63626;12042;8441;18110;22440;124659;18960;2138;538;8408;34180;188883;162
724;SAINT CALAIS ;SARTHE;38682;3596;2078;11314;23427;79097;7509;2700;86;2362;18185;109939;0
750;SEINE;;12835;7785;4368;2847;160;27995;1151;2751;135;222;15296;47550;0
751;PARIS ;SEINE;0;0;302;0;0;302;0;0;0;0;3122;3424;0
752;SAINT DENIS ;SEINE;5086;4759;1363;881;0;12089;365;1288;0;0;6467;20209;0
753;SCEAUX ;SEINE;7749;3026;2703;1966;160;15604;786;1463;135;222;5707;23917;0
760;SEINE INFERIEURE;;223263;31801;25756;69553;33366;383739;39963;0;42274;13485;124089;603550;184
761;DIEPPE ;SEINE INFERIEURE;47485;7603;6349;13547;6446;81430;7751;0;9299;3673;15056;117209;41
762;LE HAVRE ;SEINE INFERIEURE;38350;3455;6087;12980;6949;67821;2387;0;4813;1081;11700;87802;58
763;NEUFCHATEL ;SEINE INFERIEURE;49177;3458;984;16756;13431;83806;13212;0;9024;3330;45174;154546;85
764;ROUEN ;SEINE INFERIEURE;42811;8230;4834;12522;2443;70840;10827;0;9794;3394;33540;128395;0
765;YVETOT ;SEINE INFERIEURE;45440;9055;7502;13748;4097;79842;5786;0;9344;2007;18619;115598;0
770;SEINE ET MARNE;;211548;14915;14356;74124;86019;400962;30681;21163;2287;7314;111227;573634;1201
771;COULOMMIERS ;SEINE ET MARNE;33242;2333;1520;11954;15406;64455;6600;2198;539;248;20376;94416;40
772;FONTAINEBLEAU ;SEINE ET MARNE;42319;3548;1216;13341;22205;82629;3642;7325;61;2620;26304;122581;420
773;MEAUX ;SEINE ET MARNE;52018;4580;3887;18901;12624;92010;7538;4645;1349;361;19768;125671;6
774;MELUN ;SEINE ET MARNE;36125;2449;5954;12290;14492;71310;3801;4274;236;2418;26484;108523;87
775;PROVINS ;SEINE ET MARNE;47844;2005;1779;17638;21292;90558;9100;2721;102;1667;18295;122443;648
780;SEINE ET OISE;;215935;28359;24614;58695;44389;371992;19774;20404;3004;8212;136978;560364;1239
781;CORBEIL ;SEINE ET OISE;24244;3746;5617;6112;3246;42965;2370;4128;232;510;13799;64004;0
782;ETAMPES ;SEINE ET OISE;35845;3682;810;9753;9926;60016;2263;1901;458;1560;13821;80019;0
783;MANTES ;SEINE ET OISE;34189;4211;1966;11727;9847;61940;2405;2349;230;2069;18702;87695;84
784;PONTOISE ;SEINE ET OISE;48744;6952;5222;11157;8225;80300;3207;2878;982;720;23232;111319;1030
785;RAMBOUILLET ;SEINE ET OISE;50617;2995;3313;13506;11669;82100;5351;1453;229;2546;40880;132559;125
786;VERSAILLES ;SEINE ET OISE;22296;6773;7686;6440;1476;44671;4178;7695;873;807;26544;84768;0
790;DEUX SEVRES;;204365;24779;12171;32710;135713;409738;73127;21660;1595;21116;72752;599988;2980
791;BRESSUIRE ;DEUX SEVRES;54624;9552;2595;6492;33756;107019;23488;5802;72;10490;16401;163272;0
792;MELLE ;DEUX SEVRES;51605;3432;3011;12268;29363;99679;11168;3804;482;1075;21085;137293;454
793;NIORT ;DEUX SEVRES;52326;2497;3449;7996;29287;95555;19735;9702;1027;1223;14151;141393;2423
794;PARTHENAY ;DEUX SEVRES;45810;9298;3116;5954;43307;107485;18736;2352;14;8328;21115;158030;103
800;SOMME;;280344;33723;41215;67194;77794;500270;14059;0;9447;11085;81259;616120;3445
801;ABBEVILLE ;SOMME;65900;12156;9102;13348;21235;121741;4325;0;4837;5260;22306;158469;2235
802;AMIENS ;SOMME;86023;8242;7172;18313;27367;147117;5093;0;1824;2666;23250;179950;274
803;DOULLENS ;SOMME;28705;2257;8787;7161;8305;55215;485;0;1388;925;7845;65858;210
804;MONTDIDIER ;SOMME;46275;4045;3661;12830;8699;75510;1867;0;701;994;12423;91495;66
805;PERONNE ;SOMME;53441;7023;12493;15542;12188;100687;2289;0;697;1240;15435;120348;660
810;TARN;;165962;19716;5226;20243;113735;324882;42432;37580;9528;52022;107772;574216;314
811;ALBI ;TARN;34886;4896;1408;4842;31188;77220;11857;8718;8158;13097;23856;142906;0
812;CASTRES ;TARN;56171;7225;1728;5031;49416;119571;21803;5207;817;32575;43031;223004;314
813;GAILLAC ;TARN;38707;6182;1366;5322;18724;70301;5164;16635;547;5211;29342;127200;0
814;LAVAUR ;TARN;36198;1413;724;5048;14407;57790;3608;7020;6;1139;11543;81106;0
820;TARN ET GARONNE;;129680;12204;3751;20232;63996;229863;18753;37967;890;17846;66697;372016;20
821;CASTEL SARRASIN;TARN ET GARONNE;41727;3373;1393;5185;25454;77132;7401;15106;3;3297;18557;121496;0
822;MOISSAC ;TARN ET GARONNE;35477;3176;837;6321;13489;59300;4206;8853;5;4479;13749;90592;0
823;MONTAUBAN ;TARN ET GARONNE;52476;5655;1521;8726;25053;93431;7146;14008;882;10070;34391;159928;20
830;VAR;;95680;8154;1331;5456;42359;152980;7037;85200;49065;126443;301886;722611;177
831;BRIGNOLES ;VAR;34220;2809;136;1643;9765;48573;1147;23457;10680;11462;102080;197399;26
832;DRAGUIGNAN ;VAR;35318;2923;233;1637;18832;58943;3932;23512;22360;59700;107837;276284;36
833;GRASSE ;VAR;15035;1514;151;815;8307;25822;1360;11390;8856;41281;31149;119858;0
834;TOULON ;VAR;11107;908;811;1361;5455;19642;598;26841;7169;14000;60820;129070;115
840;VAUCLUSE;;75992;14565;10047;12606;47770;160980;5683;28970;3625;68720;86793;354771;44
841;APT ;VAUCLUSE;20018;4430;931;3729;15884;44992;1218;9055;1317;25112;40676;122370;0
842;AVIGNON ;VAUCLUSE;12475;1490;5731;2830;3958;26484;1288;5145;875;7504;8436;49732;0
843;CARPENTRAS ;VAUCLUSE;21425;6065;392;2699;14687;45268;1715;4839;690;19007;13418;84937;17
844;ORANGE ;VAUCLUSE;22074;2580;2993;3348;13241;44236;1462;9931;743;17097;24263;97732;27
850;VENDEE;;183973;46963;13335;31025;148857;424153;119941;15495;1588;47440;61733;670350;9904
851;NAPOLEON VENDEE ;VENDEE;63814;21278;4430;10346;59385;159253;28990;5200;769;19520;23186;236918;5
852;FONTENAY LE COMTE ;VENDEE;63760;7797;6200;12393;41786;131936;46794;5650;524;4290;21301;210495;4477
853;LES SABLES D'OLONNE ;VENDEE;56399;17888;2705;8286;47686;132964;44157;4645;295;23630;17246;222937;5422
860;VIENNE;;219741;14117;8955;52084;126404;421301;46285;31610;838;87656;109347;697037;520
861;CHATELLERAULT ;VIENNE;35489;3497;1286;9733;16896;66901;4058;5304;13;11585;24617;112478;0
862;CIVRAY ;VIENNE;35579;2252;1828;8651;19803;68113;8714;3015;770;20832;14144;115588;10
863;LOUDUN ;VIENNE;39897;2111;812;7825;14762;65407;4227;5122;0;2490;12672;89918;79
864;MONTMORILLON ;VIENNE;46541;2487;1972;6256;43613;100869;18765;5661;36;38899;23700;187930;4
865;POITIERS ;VIENNE;62235;3770;3057;19619;31330;120011;10521;12508;19;13850;34214;191123;427
870;HAUTE VIENNE;;124297;14923;6688;1520;82785;230213;142642;3137;56777;64750;54138;551657;5324
871;BELLAC ;HAUTE VIENNE;35289;5203;1951;625;41948;85016;51741;1522;5873;20651;16121;180924;2500
872;LIMOGES ;HAUTE VIENNE;45612;3152;2181;541;24281;75767;47000;730;26974;33717;15967;200155;2824
873;ROCHECHOUART ;HAUTE VIENNE;23452;4180;1548;84;7285;36549;20737;880;9769;3328;8582;79845;0
874;SAINT YRIEIX ;HAUTE VIENNE;19944;2388;1008;270;9271;32881;23164;5;14161;7054;13468;90733;0
880;VOSGES;;143312;30373;5469;15710;61669;256533;85176;5022;2167;29558;229540;607996;448
881;EPINAL ;VOSGES;38372;8784;1473;4880;14231;67740;16938;460;757;3530;57623;147048;19
882;MIRECOURT ;VOSGES;38441;3343;1133;5470;16333;64720;11016;2313;839;1162;32433;112483;67
883;NEUFCHATEAU ;VOSGES;39874;3440;1159;3957;16357;64787;10457;2208;435;2688;42235;122810;26
884;REMIRMONT ;VOSGES;8523;4988;423;373;5298;19605;23019;0;58;11143;33728;87553;211
885;SAINT DIE ;VOSGES;18102;9818;1281;1030;9450;39681;23746;41;78;11035;63521;138102;125
890;YONNE;;237745;18065;7644;74731;123568;461753;31574;37732;1619;14703;195424;742805;463
891;AUXERRE ;YONNE;63562;4339;1720;21829;35096;126546;9071;16199;597;5431;44888;202732;279
892;AVALLON ;YONNE;33763;1738;989;4532;16378;57400;7329;3372;308;2140;29387;99936;0
893;JOIGNY ;YONNE;50004;6690;2980;22188;34028;115890;8390;7362;139;2429;62486;196696;57
894;SENS ;YONNE;42853;2300;1139;16807;19234;82333;4224;4837;212;2160;28442;122208;27
895;TONNERRE ;YONNE;47563;2998;816;9375;18832;79584;2560;5962;363;2543;30221;121233;100
